time_of_info,count_to_r,count_to_l,count_to_b,count_to_t,count_stuck_middle,count_stuck_to_r,count_stuck_to_l,count_stuck_to_b,count_stuck_to_t,is_jam_next_l,is_jam_next_r,is_jam_next_t,is_jam_next_b,is_green_horizontal,is_green_vertical,y
0,1,9,1,0,0,0,0,0,0,0,0,1,0,1,0,2
50,1,9,1,0,0,0,0,0,0,0,1,0,1,0,1,2
100,1,9,1,0,0,0,0,0,0,0,0,1,1,0,1,2
150,1,9,1,0,0,0,0,0,0,0,1,1,1,0,1,2
200,1,9,2,0,0,1,8,1,0,0,1,1,1,1,0,2
250,1,9,2,0,0,1,8,1,0,0,0,0,1,0,1,2
300,1,7,2,0,0,1,8,2,0,0,1,1,0,0,1,2
350,1,6,2,0,0,1,6,2,0,1,0,0,0,0,1,1
400,1,7,3,0,0,1,5,2,0,0,0,1,0,1,0,2
450,1,6,3,0,0,1,4,2,0,0,1,1,0,0,1,2
500,1,5,3,0,0,1,4,3,0,1,1,0,1,0,1,1
550,1,5,3,0,0,1,2,3,0,0,1,1,0,0,1,1
600,1,4,3,0,0,1,2,3,0,1,1,0,1,1,0,1
650,1,3,4,0,0,1,1,3,0,0,0,0,0,0,1,1
700,1,3,3,0,1,1,2,3,0,1,1,0,0,0,1,0
750,1,2,4,0,0,1,1,3,0,0,0,0,0,0,1,1
800,1,2,4,0,2,1,2,3,0,1,1,0,0,1,0,0
850,1,1,4,0,2,1,1,3,0,1,1,1,1,0,1,0
900,1,0,5,0,2,1,1,4,0,1,0,1,0,0,1,0
950,1,1,5,0,2,1,1,4,0,1,1,0,0,0,1,0
1000,1,2,5,0,3,1,1,5,0,0,1,0,0,1,0,0
0,1,9,1,0,0,0,0,0,0,0,0,1,0,1,0,2
50,1,9,1,0,0,0,0,0,0,0,1,0,1,0,1,2
100,1,9,1,0,0,0,0,0,0,0,0,1,1,0,1,2
150,1,9,1,0,0,0,0,0,0,0,1,1,1,0,1,2
200,1,9,2,0,0,1,8,1,0,0,1,1,1,1,0,2
250,1,9,2,0,0,1,8,1,0,0,0,0,1,0,1,2
300,1,7,2,0,0,1,8,2,0,0,1,1,0,0,1,2
350,1,6,2,0,0,1,6,2,0,1,0,0,0,0,1,1
400,1,7,3,0,0,1,5,2,0,0,0,1,0,1,0,2
450,1,6,3,0,0,1,4,2,0,0,1,1,0,0,1,2
500,1,5,3,0,0,1,4,3,0,1,1,0,1,0,1,1
550,1,5,3,0,0,1,2,3,0,0,1,1,0,0,1,1
600,1,4,3,0,0,1,2,3,0,1,1,0,1,1,0,1
650,1,3,4,0,0,1,1,3,0,0,0,0,0,0,1,1
700,1,3,3,0,1,1,2,3,0,1,1,0,0,0,1,0
750,1,2,4,0,0,1,1,3,0,0,0,0,0,0,1,1
800,1,2,4,0,2,1,2,3,0,1,1,0,0,1,0,0
850,1,1,4,0,2,1,1,3,0,1,1,1,1,0,1,0
900,1,0,5,0,2,1,1,4,0,1,0,1,0,0,1,0
950,1,1,5,0,2,1,1,4,0,1,1,0,0,0,1,0
1000,1,2,5,0,3,1,1,5,0,0,1,0,0,1,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
