iter	Passed	Remaining
0	6	3386
1	12	3035
2	17	2959
3	23	2926
4	29	2931
5	35	2935
6	41	2904
7	47	2920
8	53	2921
9	59	2911
10	65	2916
11	71	2896
12	77	2890
13	83	2912
14	89	2887
15	94	2863
16	99	2835
17	104	2800
18	109	2765
19	114	2743
20	118	2712
21	123	2693
22	128	2674
23	133	2648
24	138	2629
25	143	2615
26	148	2598
27	153	2583
28	158	2571
29	162	2549
30	167	2534
31	173	2533
32	177	2518
33	182	2498
34	186	2481
35	191	2463
36	195	2446
37	199	2431
38	204	2418
39	208	2401
40	213	2392
41	218	2386
42	223	2374
43	228	2365
44	232	2354
45	238	2349
46	243	2349
47	249	2349
48	255	2350
49	260	2342
50	265	2333
51	269	2325
52	274	2313
53	279	2305
54	283	2295
55	288	2287
56	293	2279
57	298	2271
58	302	2261
59	307	2252
60	312	2245
61	316	2237
62	321	2228
63	325	2219
64	330	2214
65	335	2207
66	340	2200
67	345	2197
68	351	2192
69	356	2190
70	362	2192
71	368	2188
72	374	2187
73	379	2185
74	385	2182
75	390	2180
76	396	2178
77	402	2176
78	408	2175
79	414	2173
80	419	2171
81	425	2168
82	431	2165
83	436	2163
84	442	2159
85	448	2158
86	454	2157
87	459	2152
88	465	2149
89	471	2147
90	477	2146
91	483	2142
92	488	2139
93	494	2136
94	500	2133
95	506	2132
96	512	2129
97	517	2124
98	523	2119
99	529	2117
100	534	2112
101	540	2108
102	545	2102
103	551	2098
104	557	2095
105	562	2091
106	568	2087
107	572	2079
108	578	2073
109	583	2067
110	588	2062
111	593	2057
112	599	2051
113	604	2048
114	610	2044
115	616	2039
116	621	2035
117	627	2031
118	633	2027
119	638	2022
120	644	2018
121	649	2012
122	654	2006
123	660	2001
124	665	1996
125	670	1990
126	676	1987
127	682	1983
128	687	1978
129	692	1971
130	698	1967
131	703	1961
132	708	1955
133	714	1951
134	720	1947
135	725	1941
136	730	1934
137	736	1931
138	742	1927
139	747	1921
140	752	1916
141	758	1911
142	763	1906
143	769	1902
144	775	1897
145	780	1892
146	785	1887
147	790	1880
148	796	1876
149	801	1871
150	807	1865
151	813	1863
152	818	1856
153	823	1850
154	828	1843
155	833	1838
156	838	1832
157	843	1825
158	848	1819
159	853	1812
160	858	1806
161	863	1801
162	868	1794
163	873	1789
164	879	1784
165	884	1779
166	889	1773
167	894	1768
168	899	1762
169	905	1757
170	910	1752
171	915	1746
172	921	1741
173	927	1737
174	932	1732
175	938	1727
176	943	1722
177	949	1717
178	954	1712
179	960	1707
180	965	1701
181	971	1697
182	977	1692
183	983	1688
184	988	1682
185	993	1677
186	999	1672
187	1005	1668
188	1010	1663
189	1017	1659
190	1022	1654
191	1028	1649
192	1033	1644
193	1039	1639
194	1045	1635
195	1050	1630
196	1056	1625
197	1062	1619
198	1068	1615
199	1073	1610
200	1080	1606
201	1085	1601
202	1090	1595
203	1095	1589
204	1100	1584
205	1106	1578
206	1111	1573
207	1117	1568
208	1122	1563
209	1127	1557
210	1133	1552
211	1140	1549
212	1145	1543
213	1151	1539
214	1157	1534
215	1163	1529
216	1168	1524
217	1174	1519
218	1180	1514
219	1186	1509
220	1192	1505
221	1197	1499
222	1202	1493
223	1207	1488
224	1213	1482
225	1218	1477
226	1224	1472
227	1229	1466
228	1235	1461
229	1239	1455
230	1245	1450
231	1250	1444
232	1255	1439
233	1261	1434
234	1267	1429
235	1272	1423
236	1278	1418
237	1284	1413
238	1289	1408
239	1294	1402
240	1300	1397
241	1305	1391
242	1310	1385
243	1314	1379
244	1320	1373
245	1324	1367
246	1329	1362
247	1334	1356
248	1338	1349
249	1343	1343
250	1348	1338
251	1353	1332
252	1358	1325
253	1363	1320
254	1367	1313
255	1371	1307
256	1376	1301
257	1381	1295
258	1386	1289
259	1390	1283
260	1394	1277
261	1399	1271
262	1403	1264
263	1408	1258
264	1413	1253
265	1417	1247
266	1422	1241
267	1427	1235
268	1432	1229
269	1436	1223
270	1441	1218
271	1445	1212
272	1450	1206
273	1455	1200
274	1459	1194
275	1464	1188
276	1468	1182
277	1473	1176
278	1478	1171
279	1482	1165
280	1487	1159
281	1491	1153
282	1496	1147
283	1501	1141
284	1505	1136
285	1510	1130
286	1515	1124
287	1519	1118
288	1524	1113
289	1529	1107
290	1533	1101
291	1538	1096
292	1543	1090
293	1547	1084
294	1552	1078
295	1557	1073
296	1561	1067
297	1567	1062
298	1571	1056
299	1576	1051
300	1581	1045
301	1585	1039
302	1590	1033
303	1595	1028
304	1599	1022
305	1604	1017
306	1609	1011
307	1613	1006
308	1618	1000
309	1623	994
310	1627	989
311	1632	983
312	1636	977
313	1641	972
314	1645	966
315	1650	961
316	1655	955
317	1659	949
318	1664	944
319	1668	938
320	1674	933
321	1678	927
322	1682	922
323	1687	916
324	1691	910
325	1696	905
326	1701	899
327	1705	894
328	1709	888
329	1714	882
330	1718	877
331	1723	871
332	1727	866
