time_of_info,tls_id,count_to_r,count_to_l,count_to_b,count_to_t,count_stuck_middle,count_stuck_to_r,count_stuck_to_l,count_stuck_to_b,count_stuck_to_t,is_jam_next_l,is_jam_next_r,is_jam_next_t,is_jam_next_b,is_green_horizontal,is_green_vertical,y,jams_count,jams_time,jams_car_count
15,A1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
15,B0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
15,B1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
15,B2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
15,C1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
30,A1,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
30,B0,0,1,2,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
30,B1,1,2,1,1,0,0,0,0,0,0,0,0,0,1,0,2,1,3,1
30,B2,2,0,2,1,0,0,0,0,1,0,0,0,0,1,0,2,1,5,0
30,C1,2,2,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
45,A1,2,2,0,5,0,0,0,0,0,0,0,0,0,0,1,2,1,5,1
45,B0,0,1,4,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
45,B1,1,1,1,3,0,0,0,0,0,0,0,0,0,0,1,2,1,3,1
45,B2,1,0,3,2,0,0,0,0,0,0,0,0,0,0,1,2,2,12,2
45,C1,1,2,3,0,0,0,0,0,0,0,0,0,0,0,1,2,1,9,2
60,A1,1,2,0,5,0,0,0,0,0,0,0,0,0,0,1,2,1,5,1
60,B0,0,1,6,4,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
60,B1,1,1,1,7,0,0,0,0,0,0,1,0,0,0,1,1,1,3,1
60,B2,1,0,5,2,0,1,0,0,0,0,0,0,0,0,1,2,4,18,3
60,C1,1,1,4,0,0,0,0,0,0,0,0,0,0,0,1,2,1,9,2
75,A1,1,3,0,10,0,0,0,0,0,0,0,0,0,1,0,2,1,5,1
75,B0,0,1,7,5,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
75,B1,1,1,3,10,0,0,0,0,0,0,1,0,0,1,0,1,1,3,1
