time_of_info,count_to_r,count_to_l,count_to_b,count_to_t,count_stuck_middle,count_stuck_to_r,count_stuck_to_l,count_stuck_to_b,count_stuck_to_t,is_jam_next_l,is_jam_next_r,is_jam_next_t,is_jam_next_b,is_green_horizontal,is_green_vertical,y
0,9,4,2,2,0,0,0,0,0,0,0,0,0,1,0,1
50,9,4,2,2,0,0,0,0,0,0,0,0,0,0,1,1
100,9,4,2,2,0,0,0,0,0,0,0,0,0,0,1,1
150,9,4,2,2,0,0,0,0,0,0,0,0,0,0,1,1
200,9,4,2,2,3,9,4,2,2,0,0,0,0,1,0,1
250,9,4,2,2,3,9,4,2,2,0,0,0,0,0,1,1
300,9,4,2,2,3,9,4,2,2,0,0,0,0,0,1,1
350,9,4,2,2,3,9,4,2,2,0,0,0,0,0,1,1
400,9,4,2,2,3,9,4,2,2,0,0,0,0,1,0,1
450,9,4,2,2,3,9,4,2,2,0,0,0,0,0,1,1
500,9,4,2,2,3,9,4,2,2,0,0,0,0,0,1,1
550,9,4,2,2,3,9,4,2,2,0,0,0,0,0,1,1
600,9,4,2,2,3,9,4,2,2,0,0,0,0,1,0,1
650,9,4,2,2,3,9,4,2,2,0,0,0,0,0,1,1
700,9,4,2,2,3,9,4,2,2,0,0,0,0,0,1,1
750,9,4,2,2,3,9,4,2,2,0,0,0,0,0,1,1
